OrderID,Seq,OrderDate,ProductID,Qty,Amt,CustomerID,Year,Month
187,1,2016-08-16,p1097821,2,2000,c044380,2016,8
195,1,2016-08-16,p1097821,2,2000,c111027,2016,8
207,1,2016-08-16,p1005891,1,1950,c221347,2016,8
19,4,2016-08-17,p1175481,1,1300,c268330,2016,8
19,5,2016-08-17,p1012751,1,1380,c268330,2016,8
39,3,2016-08-17,p1072601,1,4600,c297997,2016,8
51,5,2016-08-17,p1005891,2,3900,c341672,2016,8
53,1,2016-08-17,p1072601,2,9200,c329445,2016,8
55,1,2016-08-17,p1005891,2,3900,c186011,2016,8
55,4,2016-08-17,p1175481,2,2600,c186011,2016,8
65,2,2016-08-17,p1175481,1,1300,c293705,2016,8
71,1,2016-08-17,p1175481,1,1300,c107882,2016,8
85,4,2016-08-17,p1005891,1,1950,c076462,2016,8
85,8,2016-08-17,p1012751,2,2760,c076462,2016,8
89,3,2016-08-17,p1072601,1,4600,c052308,2016,8
89,4,2016-08-17,p1005891,1,1950,c052308,2016,8
91,2,2016-08-17,p1175481,1,1300,c319841,2016,8
97,2,2016-08-17,p1072601,1,4600,c365400,2016,8
101,1,2016-08-17,p1012751,1,1380,c194094,2016,8
163,1,2016-08-17,p1175481,2,2600,c313433,2016,8
195,1,2016-08-17,p1072601,1,4600,c150417,2016,8
197,4,2016-08-17,p1005891,1,1950,c038174,2016,8
201,4,2016-08-17,p1005891,3,5850,c314144,2016,8
203,14,2016-08-17,p1005891,2,3900,c017538,2016,8
81,1,2016-08-17,p1072601,2,9200,c275002,2016,8
85,2,2016-08-17,p1012751,1,1380,c314205,2016,8
101,1,2016-08-17,p1005891,2,3900,c038099,2016,8
107,4,2016-08-17,p1005891,2,3900,c221681,2016,8
111,5,2016-08-17,p1005891,1,1950,c236759,2016,8
111,6,2016-08-17,p1175481,1,1300,c236759,2016,8
137,1,2016-08-17,p1072601,1,4600,c123874,2016,8
147,3,2016-08-17,p1097821,1,1000,c283663,2016,8
151,2,2016-08-17,p1097821,1,1000,c172383,2016,8
17,2,2016-08-17,p1072601,1,4600,c138175,2016,8
17,3,2016-08-17,p1012751,1,1380,c138175,2016,8
17,6,2016-08-17,p1175481,1,1300,c138175,2016,8
21,1,2016-08-17,p1012751,1,1380,c362980,2016,8
25,4,2016-08-17,p1175481,1,1300,c062155,2016,8
61,2,2016-08-17,p1175481,1,1300,c263277,2016,8
61,4,2016-08-17,p1005891,1,1950,c263277,2016,8
69,4,2016-08-17,p1005891,4,7800,c226168,2016,8
71,5,2016-08-17,p1097821,1,1000,c017672,2016,8
59,2,2016-08-18,p1175481,1,1300,c256744,2016,8
65,2,2016-08-18,p1072601,1,4600,c037915,2016,8
67,1,2016-08-18,p1005891,-1,-1950,c104459,2016,8
77,5,2016-08-18,p1005891,5,9750,c206248,2016,8
81,5,2016-08-18,p1005891,1,1950,c098851,2016,8
117,5,2016-08-18,p1175481,1,1300,c129957,2016,8
39,3,2016-08-18,p1012751,1,1380,c207648,2016,8
41,3,2016-08-18,p1097821,1,1000,c156419,2016,8
43,5,2016-08-18,p1012751,1,1380,c113117,2016,8
49,2,2016-08-18,p1175481,1,1300,c083132,2016,8
73,1,2016-08-18,p1072601,1,4600,c093697,2016,8
83,9,2016-08-18,p1012751,1,1380,c376722,2016,8
85,2,2016-08-18,p1005891,1,1950,c238056,2016,8
105,3,2016-08-18,p1012751,1,1380,c268624,2016,8
107,5,2016-08-18,p1175481,1,1300,c080508,2016,8
113,4,2016-08-18,p1175481,2,2600,c267551,2016,8
117,2,2016-08-18,p1012751,1,1380,c122735,2016,8
127,3,2016-08-18,p1005891,1,1950,c193909,2016,8
129,9,2016-08-18,p1097821,1,1000,c275598,2016,8
141,2,2016-08-18,p1097821,1,1000,c160648,2016,8
145,2,2016-08-18,p1072601,1,3220,c353494,2016,8
153,4,2016-08-18,p1012751,1,1380,c017503,2016,8
155,1,2016-08-18,p1012751,1,1380,c238049,2016,8
155,4,2016-08-18,p1005891,1,1950,c238049,2016,8
157,1,2016-08-18,p1097821,1,1000,c352212,2016,8
35,1,2016-08-18,p1072601,1,4600,c293483,2016,8
113,4,2016-08-19,p1175481,1,1300,c293458,2016,8
137,2,2016-08-19,p1072601,1,4600,c261935,2016,8
175,10,2016-08-19,p1097821,1,1000,c342774,2016,8
17,5,2016-08-19,p1175481,1,1300,c256610,2016,8
25,5,2016-08-19,p1175481,2,2600,c048405,2016,8
31,1,2016-08-19,p1097821,3,3000,c126138,2016,8
49,2,2016-08-19,p1175481,1,1300,c128348,2016,8
51,2,2016-08-19,p1072601,1,4600,c193651,2016,8
51,8,2016-08-19,p1097821,2,2000,c193651,2016,8
67,2,2016-08-19,p1005891,1,1950,c226662,2016,8
103,12,2016-08-19,p1097821,1,1000,c045953,2016,8
125,1,2016-08-19,p1175481,1,1300,c060972,2016,8
141,2,2016-08-19,p1175481,1,1300,c236759,2016,8
141,4,2016-08-19,p1005891,1,1950,c236759,2016,8
143,1,2016-08-19,p1072601,1,4600,c057902,2016,8
145,1,2016-08-19,p1175481,2,2600,c255589,2016,8
149,1,2016-08-19,p1097821,1,1000,c017487,2016,8
155,2,2016-08-19,p1005891,2,3900,c048405,2016,8
171,5,2016-08-19,p1175481,1,1300,c118315,2016,8
175,3,2016-08-19,p1175481,1,1300,c017754,2016,8
175,8,2016-08-19,p1072601,1,4600,c017754,2016,8
13,5,2016-08-19,p1097821,1,1000,c105246,2016,8
27,2,2016-08-19,p1072601,1,4600,c211169,2016,8
35,4,2016-08-19,p1175481,1,1300,c194094,2016,8
