date,close,open,high,low,diff
2019년 01월 15일,"1,122.85","1,122.15","1,125.29","1,118.82",0.0009 
2019년 01월 14일,"1,121.80","1,118.53","1,124.92","1,118.30",0.0032 
2019년 01월 11일,"1,118.23","1,117.79","1,120.72","1,113.30",0.0004 
2019년 01월 10일,"1,117.79","1,118.18","1,123.07","1,116.30",(0.0003)
2019년 01월 09일,"1,118.18","1,122.83","1,125.58","1,117.10",(0.0041)
2019년 01월 08일,"1,122.83","1,117.66","1,126.90","1,116.80",0.0046 
2019년 01월 07일,"1,117.66","1,116.10","1,121.44","1,114.90",0.0007 
2019년 01월 04일,"1,116.85","1,125.89","1,128.92","1,115.70",(0.0080)
2019년 01월 03일,"1,125.89","1,120.12","1,131.05","1,119.20",0.0052 
2019년 01월 02일,"1,120.12","1,113.70","1,122.91","1,113.70",0.0066 
2019년 01월 01일,"1,112.83","1,114.30","1,114.95","1,112.69",(0.0013)
2018년 12월 31일,"1,114.30","1,117.05","1,117.70","1,110.80",(0.0025)
2018년 12월 28일,"1,117.05","1,120.08","1,122.42","1,113.80",(0.0027)
2018년 12월 27일,"1,120.08","1,124.66","1,124.66","1,118.90",(0.0032)
2018년 12월 26일,"1,123.66","1,123.36","1,127.81","1,122.38",(0.0015)
2018년 12월 25일,"1,125.40","1,125.17","1,126.82","1,123.20",0.0005 
2018년 12월 24일,"1,124.87","1,129.00","1,129.71","1,123.90",(0.0037)
2018년 12월 21일,"1,129.04","1,122.76","1,129.88","1,119.89",0.0056 
2018년 12월 20일,"1,122.78","1,129.71","1,131.95","1,120.80",(0.0061)
2018년 12월 19일,"1,129.71","1,127.53","1,130.05","1,121.16",0.0019 
2018년 12월 18일,"1,127.53","1,129.20","1,132.90","1,126.40",(0.0018)
2018년 12월 17일,"1,129.55","1,132.73","1,134.15","1,128.75",(0.0028)
2018년 12월 14일,"1,132.70","1,125.55","1,135.89","1,124.60",0.0064 
2018년 12월 13일,"1,125.55","1,124.82","1,127.52","1,121.39",0.0006 
2018년 12월 12일,"1,124.82","1,129.53","1,130.60","1,123.40",(0.0042)
2018년 12월 11일,"1,129.53","1,128.54","1,132.60","1,126.50",0.0010 
2018년 12월 10일,"1,128.37","1,124.89","1,131.27","1,122.65",0.0031 
2018년 12월 07일,"1,124.85","1,118.70","1,126.50","1,116.60",0.0055 
2018년 12월 06일,"1,118.70","1,114.16","1,123.90","1,112.30",0.0041 
2018년 12월 05일,"1,114.16","1,111.51","1,117.00","1,110.80",0.0024 
2018년 12월 04일,"1,111.51","1,109.54","1,114.40","1,104.70",0.0018 
2018년 12월 03일,"1,109.54","1,120.56","1,120.62","1,108.65",(0.0097)
2018년 11월 30일,"1,120.44","1,117.55","1,124.07","1,117.20",0.0026 
2018년 11월 29일,"1,117.55","1,123.48","1,125.09","1,116.60",(0.0053)
2018년 11월 28일,"1,123.48","1,130.51","1,132.72","1,122.30",(0.0062)
