date,close,open,high,low,volume_k,diff
2017-07-05,45.13,47.04,47.32,44.51,1.17M,-0.0424
2017-07-04,47.13,47.06,47.31,46.74,0,0.0013
2017-07-03,47.07,46.28,47.1,45.92,517.62,0.0224
2017-06-30,46.04,44.89,46.35,44.88,677.41,0.0247
2017-06-29,44.93,44.89,45.45,44.65,768.95,0.0042
2017-06-28,44.74,43.7,44.9,43.67,753.38,0.0113
2017-06-27,44.24,43.49,44.44,43.32,759.12,0.0198
2017-06-26,43.38,43.16,43.65,42.63,661.35,0.0086
2017-06-23,43.01,42.8,43.2,42.53,690.91,0.0063
2017-06-22,42.74,42.55,43.32,42.26,668.83,0.0049
2017-06-21,42.53,43.38,44.2,42.05,1.07M,-0.0162
2017-06-20,43.23,44.11,44.4,42.75,29.57,-0.0219
2017-06-19,44.2,44.68,45.06,44.05,123.94,-0.0121
2017-06-16,44.74,44.25,44.94,44.24,191.82,0.0063
2017-06-15,44.46,44.69,44.81,44.22,500.94,-0.006
2017-06-14,44.73,45.94,46.49,44.54,924.41,-0.0372
2017-06-13,46.46,46.01,46.57,45.56,783.32,0.0082
2017-06-12,46.08,45.8,46.71,45.66,666.77,0.0055
2017-06-09,45.83,45.71,46.18,45.27,735.93,0.0042
2017-06-08,45.64,45.85,46.18,45.2,927.7,-0.0017
2017-06-07,45.72,47.98,48.23,45.65,1.18M,-0.0513
2017-06-06,48.19,47.4,48.4,46.94,825.06,0.0167
2017-06-05,47.4,47.71,48.42,46.86,710.2,-0.0055
2017-06-02,47.66,48.04,48.19,46.74,802.66,-0.0145
2017-06-01,48.36,48.63,49.17,47.9,774.48,0.0008
2017-05-31,48.32,49.65,49.71,47.73,779.14,-0.027
2017-05-30,49.66,49.93,50.28,49.03,663.49,-0.0062
2017-05-29,49.97,49.95,50.29,49.52,0,0.0006
2017-05-28,49.94,49.93,50.04,49.85,0,0.0028
2017-05-26,49.8,48.75,49.94,48.18,763.92,0.0184
2017-05-25,48.9,51.25,52,48.45,1.15M,-0.0479
2017-05-24,51.36,51.44,51.88,51.03,736.34,-0.0021
2017-05-23,51.47,51.04,51.79,50.57,584.14,0.0146
2017-05-22,50.73,50.6,51.06,50.44,30.01,0.0079
2017-05-19,50.33,49.28,50.53,49.28,146.45,0.0199
2017-05-18,49.35,48.93,49.6,48.05,242.75,0.0057
2017-05-17,49.07,48.23,49.5,48.03,650.11,0.0084
2017-05-16,48.66,48.82,49.38,48.17,589.21,-0.0039
2017-05-15,48.85,47.85,49.66,47.75,687.15,0.0211
2017-05-12,47.84,47.81,48.07,47.35,537.49,0.0002
2017-05-11,47.83,47.39,48.22,47.34,661.78,0.0106
2017-05-10,47.33,46.18,47.78,46.01,819.8,0.0316
2017-05-09,45.88,46.49,46.78,45.53,701.94,-0.0118
2017-05-08,46.43,46.35,46.98,45.73,785.06,0.0045
2017-05-05,46.22,45.51,46.68,43.76,1.02M,0.0154
2017-05-04,45.52,47.6,47.75,45.29,943.96,-0.0481
2017-05-03,47.82,48.12,48.23,47.3,691.32,0.0034
2017-05-02,47.66,48.78,49.28,47.35,702.38,-0.0242
2017-05-01,48.84,49.17,49.32,48.59,364.39,-0.0099
2017-04-28,49.33,49.27,49.76,48.8,633.99,0.0074
2017-04-27,48.97,49.22,49.43,48.2,771.19,-0.0131
2017-04-26,49.62,49.36,50.2,48.94,655.72,0.0012
2017-04-25,49.56,49.22,49.83,48.87,587.24,0.0067
2017-04-24,49.23,49.68,50.22,49.03,517.9,-0.0079
2017-04-21,49.62,50.71,50.93,49.2,687.47,-0.0129
2017-04-20,50.27,50.63,50.97,50.18,33.75,-0.0034
2017-04-19,50.44,52.36,52.65,50.09,133.17,-0.0376
2017-04-18,52.41,52.75,52.85,52.1,202.04,-0.0046
2017-04-17,52.65,52.97,53.21,52.55,326.34,-0.01
2017-04-13,53.18,52.85,53.39,52.82,480.84,0.0013
2017-04-12,53.11,53.4,53.76,52.71,629.81,-0.0054
2017-04-11,53.4,53.13,53.45,52.7,598,0.006
2017-04-10,53.08,52.31,53.18,52.29,565.44,0.0161
2017-04-07,52.24,51.7,52.94,51.49,796.44,0.0104
2017-04-06,51.7,50.8,51.82,50.77,473.02,0.0108
2017-04-05,51.15,51.18,51.88,50.74,651.4,0.0024
2017-04-04,51.03,50.24,51.3,49.88,532.05,0.0157
2017-04-03,50.24,50.69,50.83,50.12,440.72,-0.0071
2017-03-31,50.6,50.32,50.85,49.9,527.61,0.005
2017-03-30,50.35,49.6,50.47,49.27,580.67,0.017
2017-03-29,49.51,48.47,49.63,48.38,548.62,0.0236
2017-03-28,48.37,47.89,48.74,47.8,502.38,0.0134
2017-03-27,47.73,48.12,48.28,47.08,466.18,-0.005
2017-03-24,47.97,47.67,48.2,47.54,421.03,0.0057
2017-03-23,47.7,48.15,48.48,47.58,499.88,-0.0071
2017-03-22,48.04,48.16,48.32,47.01,680.85,0.0148
2017-03-21,47.34,47.93,48.73,47.23,28.08,-0.0182
2017-03-20,48.22,48.7,48.74,47.84,142.26,-0.0115
2017-03-17,48.78,48.79,49.2,48.6,172.34,0.0006
2017-03-16,48.75,49.01,49.62,48.45,516.85,-0.0023
2017-03-15,48.86,48.76,49.04,48.16,655.79,0.0239
2017-03-14,47.72,48.45,48.79,47.09,857.71,-0.014
2017-03-13,48.4,48.45,48.68,47.9,601.36,-0.0019
2017-03-10,48.49,49.61,50.11,48.31,796.96,-0.016
2017-03-09,49.28,50.22,50.84,48.59,1.07M,-0.0199
2017-03-08,50.28,52.79,52.92,50.05,963.39,-0.0538
2017-03-07,53.14,53.17,53.8,52.71,494.68,-0.0011
2017-03-06,53.2,53.19,53.56,52.76,503.69,-0.0024
2017-03-03,53.33,52.58,53.39,52.55,436.36,0.0137
2017-03-02,52.61,53.69,53.8,52.54,638.39,-0.0227
2017-03-01,53.83,53.95,54.44,53.63,491.29,-0.0033
2017-02-28,54.01,54.04,54.23,53.18,593.91,-0.0007
2017-02-27,54.05,54.02,54.61,53.94,394.38,0.0011
2017-02-24,53.99,54.33,54.51,53.76,395.26,-0.0084
2017-02-23,54.45,53.91,54.94,53.87,529.88,0.016
2017-02-22,53.59,54.26,54.6,53.35,499.48,-0.0087
2017-02-21,54.06,53.48,54.68,53.35,44.05,0.0017
2017-02-20,53.97,53.78,54.24,53.73,0,0.0033
2017-02-19,53.79,53.86,53.96,53.78,0,0.0073
2017-02-17,53.4,53.47,53.52,52.88,195.35,0.0007
2017-02-16,53.36,53.01,53.59,52.68,343.36,0.0047
2017-02-15,53.11,53,53.51,52.73,463.64,-0.0017
2017-02-14,53.2,52.91,53.72,52.86,493.02,0.0051
2017-02-13,52.93,53.8,53.95,52.77,586.03,-0.0173
2017-02-10,53.86,53.15,54.13,52.9,596.45,0.0162
2017-02-09,53,52.37,53.21,52.37,610.2,0.0126
2017-02-08,52.34,51.64,52.67,51.22,767.38,0.0033
2017-02-07,52.17,53.14,53.24,51.63,624.06,-0.0158
2017-02-06,53.01,53.81,54.13,52.91,425.09,-0.0152
2017-02-03,53.83,53.68,54.22,53.4,462.62,0.0054
2017-02-02,53.54,53.57,54.34,53.35,492.55,-0.0063
2017-02-01,53.88,52.76,53.91,52.64,577.24,0.0203
2017-01-31,52.81,52.6,53.56,52.24,586.68,0.0034
2017-01-30,52.63,53.15,53.46,52.41,486.31,-0.0102
2017-01-27,53.17,53.74,54.08,52.58,495.56,-0.0113
2017-01-26,53.78,52.96,54.06,52.79,578.07,0.0195
2017-01-25,52.75,52.95,53.47,52.56,589.71,-0.0081
2017-01-24,53.18,52.86,53.56,52.67,520.29,0.0082
2017-01-23,52.75,53.33,53.47,52.21,455.33,0.0063
2017-01-20,52.42,51.45,52.9,51.39,0,0.0204
2017-01-19,51.37,51.39,51.87,51.02,122.59,0.0057
2017-01-18,51.08,52.52,52.79,50.91,236.24,-0.0267
2017-01-17,52.48,52.55,53.52,52.12,606.02,-0.0008
2017-01-16,52.52,52.46,52.72,52.13,0,0.0013
2017-01-15,52.45,52.53,52.56,52.39,0,0.0015
2017-01-13,52.37,53.05,53.17,52.27,477.99,-0.0121
2017-01-12,53.01,52.37,53.5,52.12,660.7,0.0145
2017-01-11,52.25,50.81,52.78,50.75,815.85,0.0281
2017-01-10,50.82,51.83,52.37,50.71,632.57,-0.0219
2017-01-09,51.96,53.75,53.83,51.76,564.89,-0.0376
2017-01-06,53.99,53.73,54.32,53.32,528.33,0.0043
2017-01-05,53.76,53.39,54.12,52.79,517.36,0.0094
2017-01-04,53.26,52.49,53.43,52.15,512.64,0.0178
2017-01-03,52.33,54.2,55.24,52.11,727.79,-0.0315
2017-01-02,54.03,54.09,54.18,54.01,0,0.0058
2016-12-30,53.72,53.87,54.09,53.41,271.09,-0.0009
2016-12-29,53.77,53.66,54.21,53.46,360.19,-0.0054
2016-12-28,54.06,53.93,54.37,53.56,322.54,0.003
2016-12-27,53.9,53.29,54.1,53.03,277.31,0.0133
2016-12-26,53.19,53.33,53.34,53.14,0,0.0032
2016-12-23,53.02,52.68,53.28,52.26,285.17,0.0013
2016-12-22,52.95,52.52,53.19,52.08,393.49,0.0088
2016-12-21,52.49,53.56,53.79,52.32,471.99,0.005
2016-12-20,52.23,52.11,52.7,51.85,26.17,0.0021
2016-12-19,52.12,52.15,52.52,51.51,129.99,0.0042
2016-12-16,51.9,51.1,52.08,50.5,252.57,0.0196
2016-12-15,50.9,50.79,51.48,49.95,551.76,-0.0027
2016-12-14,51.04,52.45,52.78,50.67,677.96,-0.0366
2016-12-13,52.98,52.51,53.41,52.35,638.4,0.0028
2016-12-12,52.83,52.58,54.51,52.18,847.03,0.0258
2016-12-09,51.5,50.92,51.66,50.86,652.04,0.013
2016-12-08,50.84,49.88,50.98,49.61,780.06,0.0215
2016-12-07,49.77,50.93,51.2,49.72,816.88,-0.0228
2016-12-06,50.93,50.97,51.6,50.28,642.75,-0.0166
2016-12-05,51.79,51.46,52.42,50.93,600.78,0.0021
2016-12-02,51.68,51.01,51.73,50.18,667.1,0.0121
2016-12-01,51.06,49.07,51.8,48.98,974.81,0.0328
2016-11-30,49.44,45.24,49.9,45.22,1.31M,0.0931
2016-11-29,45.23,46.88,46.98,44.82,732.82,-0.0393
2016-11-28,47.08,45.43,47.65,45.14,734.38,0.0221
2016-11-25,46.06,47.97,48.26,45.88,465.98,-0.04
2016-11-24,47.98,48.03,48.26,47.8,0,0.0004
2016-11-23,47.96,47.94,48.43,47.4,556.86,-0.0015
2016-11-22,48.03,48.37,49.2,47.17,826.21,0.0114
2016-11-21,47.49,45.83,47.8,45.77,34.92,0.0394
2016-11-18,45.69,44.93,45.77,44.55,155.65,0.0059
2016-11-17,45.42,45.37,46.58,44.88,284.87,-0.0033
2016-11-16,45.57,45.77,46.41,45.03,658.17,-0.0052
2016-11-15,45.81,43.76,46.09,43.55,706.18,0.0575
2016-11-14,43.32,43.2,43.81,42.2,704.77,-0.0021
2016-11-11,43.41,44.35,44.63,43.03,631.14,-0.028
2016-11-10,44.66,45.31,45.64,44.25,686.34,-0.0135
2016-11-09,45.27,44.82,45.95,43.07,946.51,0.0064
2016-11-08,44.98,44.97,45.39,44.41,669.64,0.002
2016-11-07,44.89,44.45,45.01,44.11,605.73,0.0186
2016-11-04,44.07,44.63,44.87,43.57,736.69,-0.0132
2016-11-03,44.66,45.48,45.9,44.37,540.44,-0.015
2016-11-02,45.34,46.32,46.47,44.96,674.32,-0.0285
2016-11-01,46.67,46.77,47.35,46.2,834.99,-0.0041
2016-10-31,46.86,48.25,48.74,46.63,649.24,-0.0378
2016-10-28,48.7,49.61,49.81,48.42,550.08,-0.0205
2016-10-27,49.72,49.22,50.06,49,543.17,0.011
2016-10-26,49.18,49.31,50.1,48.87,679.32,-0.0156
2016-10-25,49.96,50.49,50.93,49.27,553.78,-0.0111
2016-10-24,50.52,50.85,50.98,49.62,623.4,-0.0065
2016-10-21,50.85,50.66,51.02,50.21,551.3,0.0083
2016-10-20,50.43,51.4,51.58,50.25,24.86,-0.0227
2016-10-19,51.6,50.77,51.93,50.69,132.43,0.026
2016-10-18,50.29,50.04,50.78,49.76,192.8,0.007
2016-10-17,49.94,50.23,50.58,49.47,418.72,-0.0081
2016-10-14,50.35,50.58,51.14,49.9,519.43,-0.0018
2016-10-13,50.44,50,50.59,49.36,740.68,0.0052
2016-10-12,50.18,50.84,51.17,49.89,533.88,-0.012
2016-10-11,50.79,51.1,51.54,50.39,765.61,-0.0109
2016-10-10,51.35,49.57,51.6,49.15,686.07,0.0309
2016-10-07,49.81,50.59,50.74,49.4,618.81,-0.0125
2016-10-06,50.44,49.65,50.63,49.33,547.92,0.0122
2016-10-05,49.83,49.26,49.97,49.1,520.07,0.0234
2016-10-04,48.69,48.65,49.26,48.26,513.71,-0.0025
2016-10-03,48.81,48.04,49.02,47.78,458.02,0.0118
2016-09-30,48.24,47.76,48.3,47.04,496.52,0.0086
2016-09-29,47.83,47.2,48.32,46.6,702.65,0.0166
2016-09-28,47.05,44.96,47.45,44.35,1.01M,0.0533
